url,finalUrl,status,title,h1Count,canonical,robots,contentLength,internalLinks,externalLinks,hasMetaDescription,metaDescription,lastModified
https://toolbox.curioboxapp.info,https://toolbox.curioboxapp.info/en,200,Toolbox,1,,"index, follow",109553,5,0,,A collection of useful tools for everyone,2026-03-28T06:51:01.839Z
https://toolbox.curioboxapp.info/en,https://toolbox.curioboxapp.info/en,200,Toolbox,1,,"index, follow",109553,5,0,,A collection of useful tools for everyone,2026-03-28T06:51:02.048Z
https://toolbox.curioboxapp.info/de,https://toolbox.curioboxapp.info/de,200,Toolbox,1,,"index, follow",104838,5,0,,Eine Sammlung nützlicher Tools für alle,2026-03-28T06:51:02.320Z
https://toolbox.curioboxapp.info/tr,https://toolbox.curioboxapp.info/tr,200,Toolbox,1,,"index, follow",111000,5,0,,Herkes için faydalı araçlar koleksiyonu,2026-03-28T06:51:02.698Z
https://toolbox.curioboxapp.info/fr,https://toolbox.curioboxapp.info/fr,200,Toolbox,1,,"index, follow",106575,5,0,,Une collection d&#x27;outils utiles pour tous,2026-03-28T06:51:02.917Z
https://toolbox.curioboxapp.info/pt,https://toolbox.curioboxapp.info/pt,200,Toolbox,1,,"index, follow",104307,5,0,,Uma coleção de ferramentas úteis para todos,2026-03-28T06:51:03.159Z
https://toolbox.curioboxapp.info/es,https://toolbox.curioboxapp.info/es,200,Toolbox,1,,"index, follow",105925,5,0,,Una colección de herramientas útiles para todos,2026-03-28T06:51:03.446Z
https://toolbox.curioboxapp.info/it,https://toolbox.curioboxapp.info/it,200,Toolbox,1,,"index, follow",103146,5,0,,Una raccolta di strumenti utili per tutti,2026-03-28T06:51:03.656Z
https://toolbox.curioboxapp.info/nl,https://toolbox.curioboxapp.info/nl,200,Toolbox,1,,"index, follow",103061,5,0,,Een verzameling handige tools voor iedereen,2026-03-28T06:51:03.878Z
https://toolbox.curioboxapp.info/ja,https://toolbox.curioboxapp.info/ja,200,Toolbox,1,,"index, follow",83359,5,0,,みんなのための便利なツール集,2026-03-28T06:51:04.144Z
https://toolbox.curioboxapp.info/ru,https://toolbox.curioboxapp.info/ru,200,Toolbox,1,,"index, follow",103579,5,0,,Коллекция полезных инструментов для всех,2026-03-28T06:51:04.397Z
https://toolbox.curioboxapp.info/en/tools/base64,https://toolbox.curioboxapp.info/en/tools/base64,200,Toolbox,1,https://toolbox.curioboxapp.info/en/tools,"index, follow",125795,5,0,,A collection of useful tools for everyone,2026-03-28T06:51:04.665Z
https://toolbox.curioboxapp.info/de/tools/base64,https://toolbox.curioboxapp.info/de/tools/base64,200,Toolbox,1,https://toolbox.curioboxapp.info/de/tools,"index, follow",119827,5,0,,Eine Sammlung nützlicher Tools für alle,2026-03-28T06:51:04.894Z
https://toolbox.curioboxapp.info/tr/tools/base64,https://toolbox.curioboxapp.info/tr/tools/base64,200,Toolbox,1,https://toolbox.curioboxapp.info/tr/tools,"index, follow",126039,5,0,,Herkes için faydalı araçlar koleksiyonu,2026-03-28T06:51:05.174Z
https://toolbox.curioboxapp.info/fr/tools/base64,https://toolbox.curioboxapp.info/fr/tools/base64,200,Toolbox,1,https://toolbox.curioboxapp.info/fr/tools,"index, follow",121506,5,0,,Une collection d&#x27;outils utiles pour tous,2026-03-28T06:51:05.431Z
https://toolbox.curioboxapp.info/pt/tools/base64,https://toolbox.curioboxapp.info/pt/tools/base64,200,Toolbox,1,https://toolbox.curioboxapp.info/pt/tools,"index, follow",119206,5,0,,Uma coleção de ferramentas úteis para todos,2026-03-28T06:51:05.741Z
